n;nhsn_code;procedimiento_qx;descripcion;cie9
100;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.34
101;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.35
102;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.36
103;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.41
104;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.42
105;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.43
106;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.44
107;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.45
108;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.46
109;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.47
110;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.48
111;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.50
112;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.53
113;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.54
114;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.6
115;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.70-85.76
116;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.79
117;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.9385.96
118;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.00-35.04
119;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.10-35.14
120;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.20-35.28
121;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.31-35.35
122;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.39
123;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.42
124;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.50
125;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.51
126;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.53
127;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.54
128;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.60-35.63
129;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.70-35.73
130;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.81-35.84
131;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.91-35.95
132;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.98-35.99
133;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;37.10
134;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;37.11
135;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;37.24
136;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;37.31-37.33
137;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;37.35
138;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;37.36
139;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;37.41
140;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;37.49
141;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;37.60
142;CEA;Endarterectomía carotidea;Endarterectomía de los vasos de la cabeza y cuello (incluye la arteriacarótida y la vena yugular);38.12
143;CBGB;Injerto de “bypass” de arteria coronaria con incisiones en el tórax y en el lugar de donación del injerto;"Cirugía torácica para realizar revascularización directa del corazón; incluye la obtención del injerto venoso del lugar de donación";36.10-36.14
144;CBGB;Injerto de “bypass” de arteria coronaria con incisiones en el tórax y en el lugar de donación del injerto;"Cirugía torácica para realizar revascularización directa del corazón; incluye la obtención del injerto venoso del lugar de donación";36.19
145;CBGC;Injerto de “bypass” de arteria coronaria con incisión sólo en el tórax;Cirugía torácica para realizar revascularización directa del corazón usando, por ejemplo, la arteria mamaria interna;36.15-36.17
146;CBGC;Injerto de “bypass” de arteria coronaria con incisión sólo en el tórax;Cirugía torácica para realizar revascularización directa del corazón usando, por ejemplo, la arteria mamaria interna;36.2
147;CHOL;Cirugía de la vesícula biliar;Colecistectomía y colecistotomía;51.03
148;CHOL;Cirugía de la vesícula biliar;Colecistectomía y colecistotomía;51.04
149;CHOL;Cirugía de la vesícula biliar;Colecistectomía y colecistotomía;51.13
150;CHOL;Cirugía de la vesícula biliar;Colecistectomía y colecistotomía;51.21-51.24
151;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";17.31-17.36
152;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";17.39
153;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";45.03
154;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";45.26
155;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";45.41
156;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";45.49
157;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";45.52
158;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";45.71-45.76
159;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";45.79
160;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";45.81-45.83
161;COLO;Cirugía del colon;"Incisión, resección, o anastomosis del intestino grueso; incluye anastomosis entre el intestino delgado y grueso. No se incluye la cirugía rectal";45.92-45.95
