n;nhsn_code;procedimiento_qx;descripcion;cie9
100;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.34
101;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.35
102;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.36
103;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.41
104;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.42
105;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.43
106;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.44
107;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.45
108;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.46
109;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.47
110;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.48
111;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.50
112;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.53
113;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.54
114;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.6
115;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.70
116;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.71
117;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.72
118;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.73
119;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.74
120;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.75
121;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.76
122;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.79
123;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.93
124;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.94
125;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.95
126;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.96
127;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.00
128;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.01
129;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.02
130;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.03
131;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.04
132;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.10
133;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.11
134;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.12
135;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.13
136;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.14
137;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.20
138;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.21
139;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.22
140;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.23
141;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.24
142;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.25
143;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.26
144;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.27
145;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.28
146;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.31
147;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.32
148;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.33
149;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.34
150;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.35
151;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.39
152;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.42
153;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.50
154;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.51
155;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.53
156;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.54
157;CARD;Cirugía cardiaca;Procedimientos en las válvulas o septo del corazón. No incluye el injerto de “bypass” de arteria coronaria, la cirugía de los grandes vasos, trasplante cardiaco, o la implantación de marcapasos;35.60
